sample;replicate;fastq_1;fast_q2;strandedness;;;;;
WT_0_3;;C:\Users\merge\Genomics\alldata\01_mouse_dox_wt\data;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2707_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2707_R2.fastq.gz
WT_0_1;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2708_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2708_R2.fastq.gz
WT_0_2;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2710_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2710_R2.fastq.gz
WT_12_3;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2758_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2758_R2.fastq.gz
WT_12_1;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2762_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2762_R2.fastq.gz
WT_12_2;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2765_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2765_R2.fastq.gz
WT_24_3;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2730_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2730_R2.fastq.gz
WT_24_2;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2732_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2732_R2.fastq.gz
WT_24_1;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2741_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2741_R2.fastq.gz
WT_48_1;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2731_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2731_R2.fastq.gz
WT_48_3;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2737_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2737_R2.fastq.gz
WT_48_2;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2738_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2738_R2.fastq.gz
WT_96_2;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2706_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2706_R2.fastq.gz
WT_96_1;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2715_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2715_R2.fastq.gz
WT_96_3;;;;unstranded;;;;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2716_R1.fastq.gz;/scratch/Shares/rinn/ML/mouse_wt_long_timecourse/JR2716_R2.fastq.gz
